Geo_FIPS,Geo_GEOID,Geo_NAME,housingunits,occupied,vacant,vacant_rental,vacant_sale,vacant_other,med_rent,med_rir,vacrate
15940,31000US15940,"Canton-Massillon, OH Metro Area",178914,160678,18236,3302,2012,12922,676,29.1000003814697,0.101926065036833
15980,31000US15980,"Cape Coral-Fort Myers, FL Metro Area",372769,246061,126708,10823,6821,109064,939,32.2999992370605,0.339910239317111
16020,31000US16020,"Cape Girardeau, MO-IL Metro Area",42594,37288,5306,969,753,3584,661,29.5,0.124571535897075
16060,31000US16060,"Carbondale-Marion, IL Metro Area",59236,50229,9007,2845,537,5625,651,34.2000007629395,0.152052805726248
16100,31000US16100,"Carlsbad-Artesia, NM Micro Area",22960,20190,2770,430,62,2278,738,23.7000007629395,0.120644599303136
16180,31000US16180,"Carson City, NV Metro Area",23500,21225,2275,854,185,1236,837,29,0.096808510638298
16220,31000US16220,"Casper, WY Metro Area",34900,31790,3110,619,264,2227,831,26.2000007629395,0.089111747851003
16260,31000US16260,"Cedar City, UT Micro Area",19879,15135,4744,815,475,3454,665,31.2999992370605,0.238643794959505
16300,31000US16300,"Cedar Rapids, IA Metro Area",113464,105376,8088,2255,1458,4375,676,26.6000003814697,0.071282521328351
16340,31000US16340,"Cedartown, GA Micro Area",16946,14778,2168,501,403,1264,669,29.5,0.127935796058067
16380,31000US16380,"Celina, OH Micro Area",17655,15923,1732,242,141,1349,650,25.6000003814697,0.098102520532427
16460,31000US16460,"Centralia, IL Micro Area",18212,15835,2377,332,179,1866,626,33.2000007629395,0.130518339556336
16500,31000US16500,"Centralia, WA Micro Area",34112,29450,4662,719,635,3308,782,32,0.136667448405253
16540,31000US16540,"Chambersburg-Waynesboro, PA Metro Area",63779,58298,5481,903,1102,3476,801,28.2999992370605,0.085937377506703
16580,31000US16580,"Champaign-Urbana, IL Metro Area",101942,91858,10084,2956,1521,5607,795,34.2999992370605,0.098918993152969
16620,31000US16620,"Charleston, WV Metro Area",108096,95619,12477,2712,1231,8534,675,26.5,0.115425177619893
16660,31000US16660,"Charleston-Mattoon, IL Micro Area",28354,25247,3107,801,194,2112,616,33.7999992370605,0.109578895393948
16700,31000US16700,"Charleston-North Charleston, SC Metro Area",305301,264864,40437,10718,4610,25109,974,33.2000007629395,0.13244961529769
16740,31000US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",951731,857926,93805,22478,12986,58341,847,29.8999996185303,0.098562513987671
16820,31000US16820,"Charlottesville, VA Metro Area",98307,85076,13231,2673,657,9901,1050,29.7000007629395,0.134588584739642
16860,31000US16860,"Chattanooga, TN-GA Metro Area",236121,209002,27119,5635,3747,17737,736,29.8999996185303,0.114852130898988
16940,31000US16940,"Cheyenne, WY Metro Area",40971,37364,3607,680,304,2623,783,27,0.088037880452027
16980,31000US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3799255,3438560,360695,87308,51791,221596,979,31.2999992370605,0.094938349755413
17020,31000US17020,"Chico, CA Metro Area",96700,85215,11485,1819,939,8727,899,36.5,0.118769389865564
17060,31000US17060,"Chillicothe, OH Micro Area",31933,28209,3724,436,408,2880,662,30,0.116619171390098
17140,31000US17140,"Cincinnati, OH-KY-IN Metro Area",914771,817460,97311,24858,12046,60407,750,29.7000007629395,0.106377443097781
